N0	t1	{TstrBot_0759.Cattle.bam, TstrZam_0843.Cattle.bam, ScafKen_1010.Cattle.bam, TimbSom_0980.Cattle.bam, TderSSu_0966.Cattle.bam, ToryEth_0652.Cattle.bam}|{TspeGha_0887.Cattle.bam}#{TspeCam_1021.Cattle.bam}|{TbuxEth_0865.Cattle.bam}	1.0	694.4999999999998	1000.0
N0	t2	{TstrBot_0759.Cattle.bam, TstrZam_0843.Cattle.bam, ScafKen_1010.Cattle.bam, TimbSom_0980.Cattle.bam, TderSSu_0966.Cattle.bam, ToryEth_0652.Cattle.bam}|{TbuxEth_0865.Cattle.bam}#{TspeCam_1021.Cattle.bam}|{TspeGha_0887.Cattle.bam}	0.0	161.0000000000001	1000.0
N0	t3	{TstrBot_0759.Cattle.bam, TstrZam_0843.Cattle.bam, ScafKen_1010.Cattle.bam, TimbSom_0980.Cattle.bam, TderSSu_0966.Cattle.bam, ToryEth_0652.Cattle.bam}|{TspeCam_1021.Cattle.bam}#{TbuxEth_0865.Cattle.bam}|{TspeGha_0887.Cattle.bam}	0.0	144.5	1000.0
N1	t1	{TstrBot_0759.Cattle.bam, TderSSu_0966.Cattle.bam, ToryEth_0652.Cattle.bam}|{TstrZam_0843.Cattle.bam, ScafKen_1010.Cattle.bam, TimbSom_0980.Cattle.bam}#{TspeCam_1021.Cattle.bam, TbuxEth_0865.Cattle.bam}|{TspeGha_0887.Cattle.bam}	0.9998685009176288	453.66666666666606	1000.0
N1	t2	{TstrBot_0759.Cattle.bam, TderSSu_0966.Cattle.bam, ToryEth_0652.Cattle.bam}|{TspeCam_1021.Cattle.bam, TbuxEth_0865.Cattle.bam}#{TstrZam_0843.Cattle.bam, ScafKen_1010.Cattle.bam, TimbSom_0980.Cattle.bam}|{TspeGha_0887.Cattle.bam}	1.3149908237141515E-4	434.6111111111115	1000.0
N1	t3	{TstrBot_0759.Cattle.bam, TderSSu_0966.Cattle.bam, ToryEth_0652.Cattle.bam}|{TspeGha_0887.Cattle.bam}#{TspeCam_1021.Cattle.bam, TbuxEth_0865.Cattle.bam}|{TstrZam_0843.Cattle.bam, ScafKen_1010.Cattle.bam, TimbSom_0980.Cattle.bam}	0.0	111.72222222222227	1000.0
N2	t1	{TstrBot_0759.Cattle.bam}|{TspeCam_1021.Cattle.bam, TbuxEth_0865.Cattle.bam, TstrZam_0843.Cattle.bam, ScafKen_1010.Cattle.bam, TimbSom_0980.Cattle.bam, TspeGha_0887.Cattle.bam}#{TderSSu_0966.Cattle.bam}|{ToryEth_0652.Cattle.bam}	1.0	968.8333333333335	1000.0
N2	t2	{TstrBot_0759.Cattle.bam}|{ToryEth_0652.Cattle.bam}#{TspeCam_1021.Cattle.bam, TbuxEth_0865.Cattle.bam, TstrZam_0843.Cattle.bam, ScafKen_1010.Cattle.bam, TimbSom_0980.Cattle.bam, TspeGha_0887.Cattle.bam}|{TderSSu_0966.Cattle.bam}	0.0	14.0	1000.0
N2	t3	{TstrBot_0759.Cattle.bam}|{TderSSu_0966.Cattle.bam}#{TspeCam_1021.Cattle.bam, TbuxEth_0865.Cattle.bam, TstrZam_0843.Cattle.bam, ScafKen_1010.Cattle.bam, TimbSom_0980.Cattle.bam, TspeGha_0887.Cattle.bam}|{ToryEth_0652.Cattle.bam}	0.0	17.166666666666664	1000.0
N3	t1	{TstrBot_0759.Cattle.bam}|{TderSSu_0966.Cattle.bam, ToryEth_0652.Cattle.bam}#{TspeCam_1021.Cattle.bam, TbuxEth_0865.Cattle.bam, TspeGha_0887.Cattle.bam}|{TstrZam_0843.Cattle.bam, ScafKen_1010.Cattle.bam, TimbSom_0980.Cattle.bam}	0.9999994990878914	432.6111111111104	1000.0
